Model_Name,weights_column,offset_column,fold_column,fold_assessment,stopping_rounds,max_runtime_secs,stopping_metric,stopping_tolerance,balance_classes,class_sampling_factors,max_after_balance_size,ntrees,max_depth,min_rows,nbins,nbins_top_level,nbins_cats,seed,sample_rate,sample_rate_per_class,col_sample_rate_per_tree,col_sample_rate_change_per_level,min_split_improvement,histogram_type,learn_rate,learn_rate_annealing,col_sample_rate,max_abs_leafnode_pred,pred_noise_bandwidth,distribution,tweedie_power,quantile_alpha,huber_alpha,categorical_encoding,rmse
GBM_4_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,302758.3971
GBM_2_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303155.8825
GBM_3_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303650.1031
GBM_1_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305788.113
GBM_5_AutoML_20190416_233703,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,3.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,311135.0283
GBM_grid_1_AutoML_20190416_233703_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,318,5,100,20,1024,1024,3.17E+18,0.9,NULL,0.7,1,1.00E-05,AUTO,0.001,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,544272.2022
GBM_1_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,302456.7708
GBM_grid_1_AutoML_20190417_092107_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,82,16,30,20,1024,1024,5.24E+18,0.8,NULL,0.7,1,0.0001,AUTO,0.1,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,302623.4645
GBM_1_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,304164.3609
GBM_2_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305077.2133
GBM_2_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305778.1751
GBM_4_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305838.3849
GBM_3_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,306177.2394
GBM_3_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,306204.8669
GBM_4_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,306671.501
GBM_grid_1_AutoML_20190417_103626_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,71,10,10,20,1024,1024,-8.35E+18,0.9,NULL,1,1,1.00E-05,AUTO,0.08,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,307459.0843
GBM_5_AutoML_20190417_103626,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,64,15,100,20,1024,1024,4.08E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,308692.4494
GBM_5_AutoML_20190417_092107,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,62,15,100,20,1024,1024,7.37E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,310354.0228
GBM_grid_1_AutoML_20190417_103626_model_3,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,596,4,10,20,1024,1024,-1.72E+18,0.7,NULL,0.7,1,0.0001,AUTO,0.005,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,332316.2041
GBM_grid_1_AutoML_20190417_092107_model_2,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,139,13,5,20,1024,1024,7.12E+18,0.8,NULL,1,1,1.00E-05,AUTO,0.01,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,343865.505
GBM_grid_1_AutoML_20190417_103626_model_2,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,30,9,100,20,1024,1024,6.39E+18,0.7,NULL,1,1,1.00E-05,AUTO,0.8,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,377327.9546
GBM_grid_1_AutoML_20190417_103626_model_4,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,167,10,10,20,1024,1024,5.33E+18,0.9,NULL,1,1,0.0001,AUTO,0.005,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,405246.0539
GBM_2_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303001.6776
GBM_3_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303047.7944
GBM_1_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303778.6013
GBM_4_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,304863.887
GBM_5_AutoML_20190417_121910,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,15,100,20,1024,1024,-1.59E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,311094.6849
GBM_grid_1_AutoML_20190417_121910_model_2,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,42,6,10,20,1024,1024,-8.69E+17,0.9,NULL,0.7,1,1.00E-05,AUTO,0.5,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,329536.8114
GBM_grid_1_AutoML_20190417_121910_model_3,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,1228,7,15,20,1024,1024,-8.41E+18,0.9,NULL,1,1,1.00E-05,AUTO,0.001,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,370691.06
GBM_grid_1_AutoML_20190417_121910_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,30,15,15,20,1024,1024,-5.32E+18,0.7,NULL,1,1,0.0001,AUTO,0.8,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,426528.5629
GBM_grid_1_AutoML_20190419_190006_model_7,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,77,9,30,20,1024,1024,2.15E+18,1,NULL,0.7,1,1.00E-05,AUTO,0.1,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,300602.2988
GBM_4_AutoML_20190419_190006,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-5.33E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,301550.2903
GBM_grid_1_AutoML_20190419_190006_model_6,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,361,16,10,20,1024,1024,-2.74E+18,0.8,NULL,0.7,1,1.00E-05,AUTO,0.008,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303039.2626
GBM_2_AutoML_20190419_190006,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-5.33E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303132.1125
GBM_grid_1_AutoML_20190419_190006_model_8,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,63,17,15,20,1024,1024,4.49E+18,1,NULL,0.7,1,1.00E-05,AUTO,0.1,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303746.7171
GBM_3_AutoML_20190419_190006,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-5.33E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,304621.1428
GBM_1_AutoML_20190419_190006,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-5.33E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305362.2246
GBM_grid_1_AutoML_20190419_190006_model_9,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,105,9,100,20,1024,1024,-2.89E+18,0.7,NULL,0.7,1,0.0001,AUTO,0.1,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305865.9038
GBM_5_AutoML_20190419_190006,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-5.33E+18,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,310291.4774
GBM_grid_1_AutoML_20190419_190006_model_5,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,163,3,10,20,1024,1024,-1.66E+18,0.8,NULL,0.4,1,0.0001,AUTO,0.08,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,312191.5918
GBM_grid_1_AutoML_20190419_190006_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,560,7,15,20,1024,1024,4.61E+18,0.8,NULL,0.7,1,1.00E-05,AUTO,0.005,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,313819.7682
GBM_grid_1_AutoML_20190419_190006_model_2,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,510,10,15,20,1024,1024,6.04E+18,1,NULL,1,1,0.0001,AUTO,0.005,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,314084.8855
GBM_grid_1_AutoML_20190419_190006_model_4,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,33,6,10,20,1024,1024,2.73E+18,0.6,NULL,0.7,1,0.0001,AUTO,0.5,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,314697.7777
GBM_grid_1_AutoML_20190419_190006_model_10,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,323,14,100,20,1024,1024,3.62E+18,0.5,NULL,1,1,1.00E-05,AUTO,0.005,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,317525.0414
GBM_grid_1_AutoML_20190419_190006_model_3,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,1217,8,100,20,1024,1024,3.77E+18,0.6,NULL,0.7,1,0.0001,AUTO,0.001,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,324568.5806
GBM_3_AutoML_20190419_193106,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-4.96E+17,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,302902.5759
GBM_1_AutoML_20190419_193106,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-4.96E+17,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,303440.0249
GBM_2_AutoML_20190419_193106,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-4.96E+17,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,304859.8632
GBM_grid_1_AutoML_20190419_193106_model_6,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,417,9,10,20,1024,1024,9.52E+17,0.7,NULL,0.7,1,1.00E-05,AUTO,0.008,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305328.7352
GBM_4_AutoML_20190419_193106,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-4.96E+17,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305409.9402
GBM_grid_1_AutoML_20190419_193106_model_2,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,58,16,5,20,1024,1024,3.60E+18,0.6,NULL,0.7,1,0.0001,AUTO,0.1,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,305633.1097
GBM_grid_1_AutoML_20190419_193106_model_7,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,81,15,30,20,1024,1024,-8.33E+18,0.8,NULL,0.7,1,0.0001,AUTO,0.08,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,306800.6509
GBM_grid_1_AutoML_20190419_193106_model_3,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,578,14,5,20,1024,1024,3.39E+18,0.6,NULL,0.4,1,0.0001,AUTO,0.005,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,308422.1672
GBM_5_AutoML_20190419_193106,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,61,15,100,20,1024,1024,-4.96E+17,0.8,NULL,0.8,1,1.00E-05,AUTO,0.1,1,0.8,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,310299.0517
GBM_grid_1_AutoML_20190419_193106_model_1,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,398,5,1,20,1024,1024,9.07E+18,0.9,NULL,0.7,1,1.00E-05,AUTO,0.01,1,1,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,311140.267
GBM_grid_1_AutoML_20190419_193106_model_5,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,495,3,5,20,1024,1024,3.61E+18,0.8,NULL,0.4,1,1.00E-05,AUTO,0.01,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,331217.9044
GBM_grid_1_AutoML_20190419_193106_model_4,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,1279,16,30,20,1024,1024,6.41E+18,0.7,NULL,0.7,1,0.0001,AUTO,0.001,1,0.7,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,367312.4695
GBM_grid_1_AutoML_20190419_193106_model_8,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,1283,7,5,20,1024,1024,7.05E+18,1,NULL,0.7,1,1.00E-05,AUTO,0.001,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,375784.8347
GBM_grid_1_AutoML_20190419_193106_model_9,NULL,NULL,NULL,Modulo,0,0,deviance,0.007021565,FALSE,NULL,5,39,16,10,20,1024,1024,-2.41E+18,0.5,NULL,0.7,1,0.0001,AUTO,0.005,1,0.4,1.7976931348623157e+308,0,gaussian,1.5,0.5,0.9,AUTO,575363.421
